Ndex	MS	Pokémon	Type	f
#086	086	Seel	Water
#087	087	Dewgong	Water	Ice
#118	118	Goldeen	Water
#119	119	Seaking	Water
#129	129	Magikarp	Water
#131	131	Lapras	Water	Ice
#170	170	Chinchou	Water	Electric
#171	171	Lanturn	Water	Electric
#211	211	Qwilfish	Water	Poison
#223	223	Remoraid	Water
#318	318	Carvanha	Water	Dark
#319	319	Sharpedo	Water	Dark
#320	320	Wailmer	Water
#321	321	Wailord	Water
#339	339	Barboach	Water	Ground
#340	340	Whiscash	Water	Ground
#349	349	Feebas	Water
#363	363	Spheal	Ice	Water
#364	364	Sealeo	Ice	Water
#369	369	Relicanth	Water	Rock
#370	370	Luvdisc	Water
#382	382	Kyogre	Water
#456	456	Finneon	Water
#457	457	Lumineon	Water
#535	535	Tympole	Water
#550	550	Basculin	Water
#594	594	Alomomola	Water
#602	602	Tynamo	Electric
#603	603	Eelektrik	Electric
#604	604	Eelektross	Electric
#618	618	Stunfisk	Ground	Electric
#728	728	Popplio	Water
#729	729	Brionne	Water
#730	730	Primarina	Water	Fairy
#746	746	Wishiwashi	Water
#779	779	Bruxish	Water	Psychic